epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
1,1.859185685119629,0.31818,1.6845949476242066,0.3915,2.3506383895874023
2,1.6081455880355835,0.41496,1.4283128965377807,0.4742,4.911442995071411
3,1.5074829531860352,0.45532,1.4165671966552735,0.4897,6.47959041595459
4,1.4603724099731445,0.476,1.3084762447357177,0.5263,6.494166612625122
5,1.4284446207427979,0.49344,1.4283097282409667,0.5232,6.586345195770264
6,1.424607993888855,0.49946,1.3464528228759765,0.5331,6.48781418800354
7,1.4021196905899047,0.50754,1.3855786653518676,0.5093,6.542303085327148
8,1.4001788663482666,0.51054,1.2748022618293762,0.5563,6.478833436965942
9,1.4104792571258544,0.51224,1.3884625427246093,0.5419,3.039262294769287
10,1.413475330505371,0.51178,1.388632818031311,0.512,1.8313307762145996
11,1.395075020980835,0.52226,1.3860204666137694,0.5367,1.8767905235290527
12,1.4157722226715088,0.51574,1.3615849491119385,0.5479,1.9696533679962158
13,1.4361531853866578,0.50796,1.2537676277160645,0.5768,1.9029967784881592
14,1.4165096087265014,0.51716,1.320694221496582,0.5476,1.9250025749206543
15,1.445352374305725,0.50556,1.3968284433364868,0.5329,1.9819166660308838
16,1.4383709675979615,0.51004,1.3420968742370605,0.5495,1.9236221313476562
17,1.4597068814086913,0.5058,1.5276485573768617,0.5034,1.9483740329742432
18,1.472022488670349,0.50084,1.3785708248138429,0.5371,1.9372820854187012
19,1.4561459337997436,0.50568,1.365630666923523,0.5372,1.9186713695526123
20,1.4478336612319946,0.50902,1.41922509765625,0.5149,2.0029938220977783
21,1.4765793920135497,0.50382,1.4344365671157837,0.5218,1.9544978141784668
22,1.473712035446167,0.50012,1.444307589149475,0.5125,2.087564706802368
23,1.4642549921417236,0.50688,1.4655014530181885,0.502,2.007082223892212
24,1.466842359237671,0.50416,1.321278770828247,0.5605,2.005790948867798
25,1.4586835269927978,0.5074,1.370490214729309,0.5406,1.9526457786560059
26,1.4571554021835327,0.50718,1.4019871929168701,0.5264,2.0373904705047607
27,1.4636722534179687,0.50528,1.3758152208328247,0.5359,1.9992456436157227
28,1.462135103225708,0.5068,1.4242329666137696,0.5403,2.020970344543457
29,1.4889858584976197,0.50116,1.497167371940613,0.5148,1.9899559020996094
30,1.486356636581421,0.5027,1.4691305120468139,0.5173,2.0376696586608887
31,1.4922973210906982,0.49414,1.414261285018921,0.532,2.04227876663208
32,1.4844450347137452,0.50536,1.4263788654327392,0.5275,2.078522205352783
33,1.47732746635437,0.50162,1.4103330488204957,0.5454,2.097134828567505
34,1.491593960647583,0.50052,1.4991668090820311,0.4967,2.0821523666381836
35,1.507787992248535,0.49512,1.5078102451324462,0.5154,2.089519500732422
36,1.5225575071716309,0.48722,1.4871859390258788,0.5056,2.0543110370635986
37,1.5125462754058838,0.4909,1.6002396320343018,0.4693,2.107330322265625
38,1.5280241248321533,0.48422,1.5086170742034912,0.5104,2.2144992351531982
39,1.5257226322174073,0.48724,1.5345282165527343,0.5054,2.052952289581299
40,1.5437941159820556,0.47828,1.424566148376465,0.5272,2.1370418071746826
41,1.5098979095840455,0.49198,1.4150417463302611,0.5263,2.1543772220611572
42,1.5296112642669677,0.48334,1.5219229711532594,0.5201,2.087822675704956
43,1.5321270780181884,0.48554,1.5133472789764404,0.4931,2.0828444957733154
44,1.5340807334136963,0.48384,1.5309282966613769,0.482,2.012019157409668
45,1.5341470764541627,0.48422,1.4106718319892884,0.5255,2.128638744354248
46,1.5101305447769164,0.49092,1.5277151733398437,0.4867,2.102226495742798
47,1.5371750188446045,0.4823,1.469212004852295,0.5043,2.1475906372070312
48,1.5133722738265991,0.49098,1.454509593963623,0.5188,2.2943012714385986
49,1.5330920761108398,0.4841,1.5292330558776857,0.5158,2.149280309677124
50,1.5184247110366822,0.48966,1.4172514326095582,0.5255,2.186314582824707
51,1.541411263771057,0.4794,1.4415526317596437,0.5222,2.165858507156372
52,1.5423862802124024,0.4836,1.5132608633041382,0.479,2.1619770526885986
53,1.5267790616226196,0.48562,1.4568066780090332,0.5201,2.2042925357818604
54,1.5143296670532227,0.49216,1.498135686302185,0.5171,2.1998069286346436
55,1.562140139541626,0.47558,1.4616230644226074,0.5069,2.141883134841919
56,1.544593832168579,0.48382,1.4804897834777833,0.5143,2.235456943511963
57,1.5332923245620727,0.48226,1.4293885581970214,0.5335,2.1705257892608643
58,1.5089376074981689,0.49404,1.4688664443969726,0.5144,2.2347233295440674
59,1.5273360807037353,0.48588,1.512844919204712,0.5167,2.226210832595825
60,1.522873793334961,0.48962,1.4850919214248657,0.5173,2.176298141479492
61,1.523984815673828,0.49232,1.443778743171692,0.521,2.223876476287842
62,1.5302235278701781,0.4864,1.5011811138153077,0.4989,2.3541488647460938
63,1.5172468389892577,0.4902,1.410601624107361,0.5472,2.1741364002227783
64,1.553232426223755,0.47868,1.494318574142456,0.5108,2.169844150543213
65,1.5407747067642212,0.48596,1.4814338676452636,0.5229,2.187851905822754
66,1.5151880965805054,0.49156,1.6182943859100343,0.4936,2.16518497467041
67,1.5402073638153075,0.48606,1.4716185079574584,0.5047,2.158083200454712
68,1.53384316822052,0.48328,1.4447845188140869,0.5183,2.2299439907073975
69,1.5443387944030762,0.48254,1.464279832458496,0.5291,2.200941562652588
70,1.55018106048584,0.48086,1.4269597784042358,0.5344,2.22985577583313
71,1.5428775617218018,0.48098,1.4599070608139038,0.5205,2.215471029281616
72,1.5285516974258422,0.48792,1.5072227605819701,0.5128,2.3701388835906982
73,1.5476721515274048,0.48414,1.5048062984466553,0.4934,2.301541566848755
74,1.5113723051071166,0.4918,1.5091267177581786,0.4842,2.2629125118255615
75,1.5282728773498535,0.49016,1.4353382347106933,0.5221,2.236384391784668
76,1.5352733660125732,0.48658,1.5281975387573241,0.4905,2.2592902183532715
77,1.5193782448577882,0.48738,1.4017892734527588,0.5356,2.29483962059021
78,1.5445158877563476,0.47668,1.5325985513687135,0.4956,2.2447550296783447
79,1.5236459705352783,0.4907,1.4385726781845092,0.5279,2.2521140575408936
80,1.5370605471038818,0.48394,1.5241607055664061,0.5014,2.352234363555908
81,1.5466856991195679,0.48216,1.4689830360412597,0.518,2.2387101650238037
82,1.5233975072479249,0.4907,1.458706261062622,0.5234,2.2504210472106934
83,1.5239393593597412,0.49036,1.4914490367889404,0.5082,2.310138463973999
84,1.5416859705352783,0.48118,1.4949382730484009,0.4953,2.2185721397399902
85,1.5350233805847169,0.4844,1.5618820880889892,0.5072,2.1921255588531494
86,1.5521063774108887,0.4806,1.5392292739868163,0.5099,2.4221413135528564
87,1.5539972142791747,0.47892,1.4411609497070312,0.5111,2.312821865081787
88,1.5459185931396484,0.48088,1.4424474256515503,0.5314,2.2886769771575928
89,1.5306838610076905,0.48738,1.4209546617507935,0.5222,2.2695069313049316
90,1.5173183448410035,0.49046,1.4952258518218995,0.5138,2.313225030899048
91,1.532590539855957,0.48706,1.48115882396698,0.5038,2.3196260929107666
92,1.5262561814117432,0.48784,1.454393218612671,0.5188,2.387484550476074
93,1.5321956407928468,0.48694,1.4702544807434081,0.5182,2.2783310413360596
94,1.5152990127182007,0.49642,1.5005684883117676,0.5006,2.320236921310425
95,1.5328666999435425,0.48734,1.4460462978363038,0.5212,2.3927676677703857
96,1.558122272605896,0.47364,1.4905815450668336,0.4946,2.3399569988250732
97,1.5248920642471313,0.48806,1.4954660339355468,0.5069,2.377643346786499
98,1.5506813543701172,0.47994,1.5059065937042235,0.5047,2.3080174922943115
99,1.5535291669082643,0.47376,1.4770351266860962,0.5067,2.3262388706207275
100,1.5312436462020873,0.48566,1.4891254367828368,0.5082,2.3123538494110107
101,1.294283162612915,0.55966,1.2033181978225709,0.596,2.261186122894287
102,1.1976500957107543,0.59168,1.1657902267456055,0.6058,2.3233180046081543
103,1.1597975074005127,0.60678,1.1373459032058715,0.6171,2.35537052154541
104,1.1240297013092042,0.62084,1.1143812313079835,0.6258,2.32938289642334
105,1.1041382496643066,0.6201,1.1031308528900146,0.6306,2.4120349884033203
106,1.0869956008911132,0.6306,1.093174980735779,0.6328,2.284984827041626
107,1.0800279156494141,0.63134,1.0694785526275634,0.6406,2.311326026916504
108,1.0659521591186523,0.63698,1.0566917691230775,0.6444,2.5150978565216064
109,1.054250401687622,0.63972,1.0540269731521605,0.6438,2.3291594982147217
110,1.0428697337341308,0.64272,1.0459561939239501,0.6457,2.3762295246124268
111,1.0271909226226807,0.6477,1.0275386987686157,0.6514,2.322374105453491
112,1.0251364039993287,0.65106,1.0463025882720947,0.6469,2.322882652282715
113,1.0124371132278442,0.65486,1.020663786315918,0.6602,2.3373353481292725
114,1.0031011392593383,0.65734,1.0240508769989014,0.6565,2.298042058944702
115,1.002100126914978,0.6596,1.0107210971832274,0.6548,2.365704298019409
116,0.9947252283477783,0.65852,0.9996412925720215,0.6678,2.377504587173462
117,0.9885879957199096,0.6621,1.0041204919815063,0.6596,2.442430257797241
118,0.9889512506103516,0.66214,1.0110781723976134,0.6639,2.3781473636627197
119,0.9741651008605957,0.66682,0.9861514002799988,0.6627,2.4216649532318115
120,0.9769066613769531,0.6644,0.9932066459655762,0.6617,2.439643383026123
121,0.968033726348877,0.66818,0.9752244615554809,0.6746,2.303588628768921
122,0.9600059607696533,0.67344,0.9804797385215759,0.6717,2.359781503677368
123,0.9522471389389038,0.67344,0.9831486194610596,0.6661,2.365157127380371
124,0.9464495848274231,0.67732,0.9776497805595398,0.6758,2.3905346393585205
125,0.949626023979187,0.67396,0.9596196290969848,0.6777,2.358694553375244
126,0.94067395236969,0.67834,0.9581010646820068,0.6758,2.402977228164673
127,0.9362420713615417,0.67748,0.9559607621192933,0.6837,2.440732955932617
128,0.9363445980072022,0.68126,0.9726021039962769,0.6752,2.4038493633270264
129,0.9254298684310913,0.68168,0.9515043427467346,0.6792,2.3259434700012207
130,0.9212989667892456,0.68434,0.9440644611358643,0.6849,2.538996696472168
131,0.9150013050842285,0.68684,0.9416549636840821,0.6851,2.4137821197509766
132,0.9141708930206299,0.6873,0.9529130566596985,0.6818,2.3597731590270996
133,0.9085373071670533,0.68826,0.9356446255683899,0.6839,2.363104820251465
134,0.9021476081466675,0.69388,0.9254017713546753,0.6899,2.414210081100464
135,0.9062229691314697,0.69116,0.938275509929657,0.6908,2.3669376373291016
136,0.8987156776809693,0.6932,0.9249378860473633,0.6908,2.3548378944396973
137,0.8922271551895141,0.69518,0.9334093790054321,0.6935,2.3987245559692383
138,0.884835852546692,0.6963,0.9273961280822753,0.6918,2.400174379348755
139,0.8843092386054993,0.69654,0.9194842237472535,0.6952,2.516181707382202
140,0.8763074177360535,0.69824,0.9340499153137207,0.6935,2.3677098751068115
141,0.8733900309562683,0.70068,0.9170910145759582,0.694,2.3492863178253174
142,0.8766140711975098,0.70004,0.9238769138336181,0.6937,2.4566516876220703
143,0.8693470502853393,0.70252,0.9226398525238038,0.6947,2.3290722370147705
144,0.869240419807434,0.70068,0.9097774936676025,0.6983,2.4093897342681885
145,0.8645706042099,0.704,0.9229339115142823,0.6929,2.353292465209961
146,0.8594269655227661,0.70582,0.9160602066040039,0.6957,2.328822135925293
147,0.8539851512527465,0.70614,0.9215287824630737,0.6941,2.3967387676239014
148,0.8522125231933594,0.70636,0.917483028793335,0.7013,2.4273319244384766
149,0.8475364922332763,0.70972,0.9064360498428344,0.6999,2.4123268127441406
150,0.8510893286323548,0.70914,0.9190664223670959,0.6934,2.4093754291534424
151,0.8486267449760437,0.70886,0.9034883220672607,0.7012,2.4188902378082275
152,0.8443976096916199,0.71042,0.9139624097824096,0.6953,2.522139549255371
153,0.8363405088424682,0.7129,0.9130552671432495,0.698,2.4992661476135254
154,0.8357112747955322,0.71416,0.8937836715698242,0.7103,2.4342637062072754
155,0.8340385901260376,0.71472,0.8925577720642089,0.7074,2.4161999225616455
156,0.831869007987976,0.7163,0.8979875032424927,0.7031,2.3845694065093994
157,0.82888020860672,0.71504,0.8953970420837403,0.7046,2.3536441326141357
158,0.8190247484207154,0.7181,0.9011509469985962,0.6986,2.4238321781158447
159,0.8210508258438111,0.71488,0.8868368161201478,0.7114,2.465420961380005
160,0.8176362355232238,0.71884,0.8778103966712951,0.7048,2.425241231918335
161,0.814564684791565,0.72022,0.8875371234893799,0.7073,2.5179545879364014
162,0.8059204320907593,0.72428,0.8614786032676697,0.7116,2.3867039680480957
163,0.8111228936004639,0.72202,0.8838709892272949,0.7093,2.412689685821533
164,0.8040810476875305,0.72362,0.8780037309646607,0.7109,2.426548957824707
165,0.80081853099823,0.72438,0.8753794565200805,0.711,2.4490911960601807
166,0.7959668867492676,0.72642,0.8723601773262024,0.714,2.5031802654266357
167,0.7979628088188171,0.726,0.8736741443634033,0.7133,2.422272205352783
168,0.7981070375061036,0.7278,0.869024736213684,0.7157,2.3744614124298096
169,0.7925223489189148,0.72852,0.8723911214828491,0.712,2.3834967613220215
170,0.7924465668106079,0.7281,0.8594793926239014,0.7168,2.3789916038513184
171,0.7849920767974854,0.73182,0.8684182807922364,0.7136,2.4212300777435303
172,0.7851823403549194,0.73024,0.8755476601600647,0.7129,2.454155445098877
173,0.783077148475647,0.73254,0.8632745740890503,0.7178,2.4294402599334717
174,0.7807941395759582,0.73078,0.8617762691497802,0.7166,2.4318604469299316
175,0.7795057397651672,0.73304,0.8619631916999817,0.7221,2.3924381732940674
176,0.7775094258689881,0.73504,0.8543758401870728,0.7185,2.439629316329956
177,0.7710692213630677,0.73672,0.862449565410614,0.7223,2.4036195278167725
178,0.7719024761199951,0.73546,0.8451351768493652,0.7225,2.412767171859741
179,0.7647033745193481,0.73634,0.8540449016571044,0.7237,2.398922920227051
180,0.7687093878364563,0.7358,0.8466645183563233,0.7194,2.480450391769409
181,0.7587494342041016,0.73888,0.8615111756324768,0.7212,2.461289644241333
182,0.7629234658813476,0.73886,0.8522867990493774,0.7178,2.445021867752075
183,0.7542182718276977,0.74226,0.8537882259368896,0.7236,2.5853512287139893
184,0.7544384282684327,0.73772,0.8473351232528686,0.7206,2.423604965209961
185,0.7520469988632202,0.74332,0.8486710369110108,0.7238,2.463059902191162
186,0.7443676373672485,0.74224,0.8394057804107666,0.7251,2.361067771911621
187,0.7504802793884278,0.74094,0.8415625875473023,0.7232,2.446923017501831
188,0.7428893354988099,0.74526,0.8276044806480408,0.7275,2.4202651977539062
189,0.7445491670608521,0.7441,0.846280668258667,0.7264,2.4546337127685547
190,0.7403667482566834,0.7449,0.837193395614624,0.7238,2.491689443588257
191,0.7429661294174195,0.74454,0.8438240880966187,0.7285,2.4660043716430664
192,0.7343165361404419,0.74796,0.8420030386924744,0.7296,2.4593262672424316
193,0.7334090098571777,0.74798,0.8424216737747192,0.726,2.4495975971221924
194,0.7309595032119751,0.74768,0.8323245285987854,0.7293,2.3776659965515137
195,0.7324788346481323,0.74918,0.8371892272949218,0.7282,2.644019842147827
196,0.7282650709915162,0.74836,0.8281960500717163,0.7354,2.4539310932159424
197,0.7172262791633606,0.75174,0.8262259284973145,0.7342,2.389991521835327
198,0.7255933473587036,0.7511,0.8328446704864502,0.7302,2.5629642009735107
199,0.7224311481285095,0.75172,0.8168791537284851,0.7293,2.438588857650757
200,0.7214945224571228,0.75088,0.8364006553649902,0.7298,2.490694284439087
201,0.6939848377609253,0.7628,0.787803236579895,0.7442,2.4808311462402344
202,0.6841394686698914,0.76388,0.785539379119873,0.7435,2.397428274154663
203,0.6741132445907593,0.76696,0.7816779001235962,0.7407,2.4905693531036377
204,0.6744389196777344,0.76606,0.7785317844390869,0.7431,2.475616455078125
205,0.6686223411750793,0.76786,0.7770586067199707,0.7454,2.4727771282196045
206,0.6719666017913818,0.7662,0.776175170326233,0.744,2.4758644104003906
207,0.6653346077919007,0.7711,0.7720141228675842,0.7469,2.4268126487731934
208,0.6686367839813232,0.7681,0.7714786922454834,0.7466,2.4615094661712646
209,0.6670777083396912,0.76916,0.7715477573394776,0.7464,2.417083263397217
210,0.6618199565315247,0.7701,0.7714103332519531,0.7457,2.6805453300476074
211,0.6609494267082214,0.7687,0.770765474319458,0.7469,3.321230411529541
212,0.6639585865974427,0.77176,0.7687000940322876,0.7491,2.749410390853882
213,0.6612062133026123,0.77008,0.7671521292686463,0.7461,2.6726114749908447
214,0.6653478081703186,0.76966,0.7672181541442871,0.7499,3.0272152423858643
215,0.660393557510376,0.7694,0.767691206741333,0.7493,2.832303285598755
216,0.657898309288025,0.77014,0.7664599773406983,0.7489,2.8134171962738037
217,0.6623848014831543,0.77174,0.765962870979309,0.7488,3.1361727714538574
218,0.6582713829803467,0.77138,0.7683777508735656,0.7491,2.5851542949676514
219,0.6606705176162719,0.77054,0.7654576694488525,0.7514,2.818547487258911
220,0.6560375522232056,0.77052,0.7648031354904175,0.7513,2.9241116046905518
221,0.6571798159217834,0.76952,0.7603793123245239,0.752,2.7402093410491943
222,0.6566512105560303,0.77028,0.7646216179847717,0.75,2.933835744857788
223,0.6578914769935608,0.77118,0.762636383342743,0.7489,2.6549265384674072
224,0.6576506129074097,0.7707,0.7612577548980712,0.7497,2.57519793510437
225,0.6533561444091797,0.7729,0.7630518472671509,0.7508,2.5847716331481934
226,0.6544684203529358,0.77006,0.7616641149520874,0.7474,2.922430992126465
227,0.656965053024292,0.77154,0.7570572021484375,0.7501,2.6539652347564697
228,0.6516202160263062,0.77598,0.7641552230834961,0.75,2.51344633102417
229,0.6552889470863342,0.77224,0.7586138928413391,0.7474,2.5581979751586914
230,0.6528974737930298,0.77182,0.7638278667449951,0.7523,2.465054988861084
231,0.6452136470985412,0.77642,0.7592826133728028,0.7511,2.5636796951293945
232,0.6576578347206116,0.77296,0.7550525249481201,0.7528,2.5596234798431396
233,0.6545356632232666,0.7724,0.7537772638320923,0.7522,2.51898455619812
234,0.6509183626174927,0.77482,0.7583642616271973,0.7501,2.681847333908081
235,0.6533454303359986,0.7728,0.7540305009841919,0.751,2.5317318439483643
236,0.650667290763855,0.77276,0.7535821577072144,0.7494,2.4918758869171143
237,0.6516626694869995,0.77414,0.7544106191635132,0.7526,2.5013022422790527
238,0.6535994179153443,0.77048,0.7532007913589478,0.7521,2.4523162841796875
239,0.6483676963996887,0.77642,0.7526275266647339,0.7546,2.443436622619629
240,0.6493203272628785,0.77566,0.7543889741897583,0.7497,2.4818496704101562
241,0.6475885221958161,0.77452,0.758313777923584,0.7491,2.6012625694274902
242,0.6495768856430054,0.7742,0.7521381126403809,0.7525,2.485337018966675
243,0.6456701861000061,0.77724,0.7502680662155151,0.7522,2.4622836112976074
244,0.6444289733314514,0.77636,0.7509601791381836,0.752,2.575927734375
245,0.644300120010376,0.77416,0.7513086988449097,0.7518,2.6233060359954834
246,0.6419278639030457,0.77694,0.752672514629364,0.7517,2.48442006111145
247,0.6472344916152954,0.77456,0.7499412551879883,0.7499,2.470698118209839
248,0.6456523791122436,0.77404,0.7495672256469726,0.7536,2.4276671409606934
249,0.6468301275825501,0.7759,0.7478261999130249,0.7528,2.4876954555511475
